,Date,Number of Crimes,Number of SNS,Number of Abandoned Vehicle Reporting/Removal,Number of Trash/Garbage Pickup,Number of Residential Recycling Programs,Number of Street Light,Number of Code Enforcement General Request,Number of Large Item Trash/Garbage Pickup,Number of Street Flooding/Drainage,Number of Pothole/Roadway Surface Repair,Number of Illegal Dumping Reporting,Number of General Service Request
0,2012-01-01,41,83,49,49,47,44,43,29,20,17,14,1
1,2012-02-01,29,83,49,49,47,44,43,29,20,17,14,1
2,2012-03-01,45,125,3,49,47,51,19,29,22,3,1,1
3,2012-04-01,36,81,22,8,9,34,62,1,121,109,2,1
4,2012-05-01,40,99,30,3,10,38,75,1,51,80,3,2
5,2012-06-01,37,99,37,5,2,19,64,1,11,11,3,1
6,2012-07-01,32,78,24,18,17,23,70,3,51,16,3,1
7,2012-08-01,36,83,22,14,17,40,55,12,53,18,14,1
8,2012-09-01,34,45,31,66,27,103,50,26,38,26,2,1
9,2012-10-01,43,50,34,37,28,96,56,21,25,19,5,1
10,2012-11-01,30,65,30,30,14,69,24,10,11,6,6,1
11,2012-12-01,43,49,26,26,10,40,14,11,10,17,1,3
12,2013-01-01,36,48,37,33,24,45,26,4,25,17,7,3
13,2013-02-01,41,29,28,29,19,46,19,5,16,21,8,3
14,2013-03-01,41,46,42,27,47,43,31,12,14,21,43,2
15,2013-04-01,47,34,41,38,62,27,41,7,33,20,4,3
16,2013-05-01,38,42,32,39,65,42,46,13,30,18,11,1
17,2013-06-01,29,42,19,41,39,28,58,15,24,16,11,3
18,2013-07-01,34,75,29,28,46,30,51,25,27,16,27,5
19,2013-08-01,35,63,60,42,94,197,61,19,23,9,18,2
20,2013-09-01,39,65,49,34,64,60,83,18,12,9,16,1
21,2013-10-01,30,61,37,35,37,112,62,4,17,10,41,1
22,2013-11-01,33,40,21,41,49,67,18,6,10,11,7,1
23,2013-12-01,27,31,25,35,45,71,23,10,9,10,4,1
24,2014-01-01,46,41,29,34,62,44,19,19,9,12,5,1
25,2014-02-01,47,32,29,42,59,84,20,12,27,13,3,1
26,2014-03-01,49,25,35,33,36,32,28,13,26,14,4,1
27,2014-04-01,43,38,39,44,62,88,21,26,25,21,6,1
28,2014-05-01,32,37,44,39,37,56,43,16,15,17,7,1
29,2014-06-01,25,43,46,67,66,51,48,37,28,9,3,1
30,2014-07-01,39,35,36,54,69,93,74,33,38,8,61,1
31,2014-08-01,41,54,34,55,49,32,63,30,8,13,37,2
32,2014-09-01,35,75,80,44,65,34,66,32,24,20,43,1
33,2014-10-01,46,74,71,56,56,30,46,29,8,6,24,1
34,2014-11-01,34,73,36,34,39,14,33,25,10,11,9,1
35,2014-12-01,42,56,44,54,81,18,20,26,4,7,15,1
36,2015-01-01,28,66,44,57,54,26,8,31,15,13,16,1
37,2015-02-01,23,49,36,43,43,11,23,28,9,2,11,1
38,2015-03-01,43,57,73,66,56,29,18,36,25,10,19,1
39,2015-04-01,31,43,67,55,44,27,25,37,25,15,45,1
40,2015-05-01,52,33,75,56,92,23,43,41,13,18,24,1
41,2015-06-01,41,43,59,67,74,41,65,56,35,15,12,1
42,2015-07-01,41,46,76,56,45,51,55,52,24,29,8,1
43,2015-08-01,50,52,98,60,60,43,58,54,19,13,12,1
44,2015-09-01,49,80,72,74,48,23,62,47,13,13,10,1
45,2015-10-01,45,72,52,62,52,25,58,42,1,24,8,1
46,2015-11-01,47,57,49,39,38,42,31,21,20,3,8,1
47,2015-12-01,46,34,52,66,78,19,15,22,20,6,6,1
48,2016-01-01,48,57,43,74,56,19,21,42,2,10,11,1
49,2016-02-01,39,22,52,80,61,19,26,39,20,6,10,1
50,2016-03-01,39,77,73,72,41,16,36,52,1,8,15,1
51,2016-04-01,30,57,66,74,49,21,43,45,1,13,27,1
52,2016-05-01,47,66,86,85,55,20,44,61,4,18,23,1
53,2016-06-01,44,48,79,98,65,54,71,92,2,19,18,1
54,2016-07-01,43,44,85,82,51,54,68,69,20,11,20,1
55,2016-08-01,57,45,106,97,68,33,79,73,20,67,14,1
56,2016-09-01,51,46,64,112,46,92,48,72,2,35,16,1
57,2016-10-01,49,47,73,62,44,28,53,50,1,10,12,1
58,2016-11-01,53,32,80,56,42,15,27,52,20,11,16,1
59,2016-12-01,53,40,82,55,37,21,29,60,20,7,10,1
